Questionnaire,Section,#,Question,Answer,Status,Task Owner,Notes,Remediate before submitting
ISD IT Risk Assessment,Additional Cybersecurity Questions,3,Does the vendor require any exclusions for vulnerability scanning?,,,,,
ISD IT Risk Assessment,Additional Cybersecurity Questions,4,Will the vendor be performing vulnerability scanning and remediation of vulnerabilities?,,,,,
ISD IT Risk Assessment,Additional Cybersecurity Questions,5,Is your application expected to send transactional (system-generated) emails?,,,,,
ISD IT Risk Assessment,Additional Cybersecurity Questions,6,"Will the application send from a dedicated Host, IP or shared mail service?",,,,,
ISD IT Risk Assessment,Additional Cybersecurity Questions,7,Has the third-party company adapted DMARC policy for email Authentication?,,,,,
ISD IT Risk Assessment,Integration Requirements,1,"Are changes required to existing interfaces? (APIs, etc.)",,,,,
ISD IT Risk Assessment,End-user Compute Requirements,1,Does the end-user compute need to be modified?,,,,,
ISD IT Risk Assessment,End-user Compute Requirements,2,Does a web application browser have to be installed?,,,,,
ISD IT Risk Assessment,End-user Compute Requirements,3,Does workstation need operating system (OS)?,,,,,
ISD IT Risk Assessment,End-user Compute Requirements,4,Does it require peripherals?,,,,,
ISD IT Risk Assessment,End-user Compute Requirements,5,Do you require any specific equipment to carry out this project?,,,,,
ISD IT Risk Assessment,End-user Compute Requirements,6,Do you support the use of a virtual desktop environment?,,,,,
ISD IT Risk Assessment,End-user Compute Requirements,7,Do you intend to install the application locally on the endpoint device?,,,,,
ISD IT Risk Assessment,Clinical Engineering,1,Do you have any requirements related to the Internet of Medical Things (IoMT)?,,,,,
ISD IT Risk Assessment,Telecommunications Requirements,1,Do you have any requirements related to telecommunications?,,,,,
ISD IT Risk Assessment,Timeline Estimates,1,Provide estimated start date,,,,,
ISD IT Risk Assessment,Timeline Estimates,2,"Provide other information about project timelines, if any",,,,,
ISD IT Risk Assessment,Timeline Estimates,3,"Provide estimated project duration, from start (in number of days)",,,,,
ISD IT Risk Assessment,Vendor Support Information,1,Does ECH have any current engagements with this third party for other IT solutions?,,,,,
ISD IT Risk Assessment,Other Requirements (ECH IS division only),1,Do you have any outstanding issues or concerns?,,,,,
ISD IT Risk Assessment,Other Requirements (ECH IS division only),2,Do you have any further resolution steps?,,,,,
OWASP Top 10,A01:2021 - Broken Access Control,1,"Do you enforce access control policies? If yes, please explain.",,,,,
OWASP Top 10,A02:2021 - Cryptographic Failures,1,"Do you protect sensitive data, such as financial, healthcare, and PII through extra protection? If yes, please explain.",,FOLLOW UP,,Need update to password storage,Yes
OWASP Top 10,A03:2021 - Injection,1,"Do you protect against injection flaws, such as SQL, NoSQL, OS, and LDAP injection? If yes, please describe in detail how you do this.",,,,,
OWASP Top 10,A04:2021 - Insecure Design,1,"Do you have an established and secure development lifecycle with AppSec professionals to help evaluate and design security and privacy-related controls? If yes, please explain.",,FOLLOW UP,,Might go with our current answer,
OWASP Top 10,A05:2021 - Security Misconfiguration,1,"Do you have a repeatable security hardening process? If yes, please explain.",,,,,
OWASP Top 10,A06:2021 - Vulnerable and Outdated Components,1,"Do you regularly scan for vulnerabilities and is there a patch management process in place? If yes, please explain.",,FOLLOW UP,,Upgrade Github,Yes
OWASP Top 10,A07:2021 - Identification and Authentication Failures,1,"Do you protect against attackers compromising passwords, keys, or session tokens? If yes, please explain.",,FOLLOW UP,,,Yes
OWASP Top 10,A08:2021 - Software and Data Integrity Failures,1,"Do you have code and infrastructure protection against integrity violations? If yes, please explain.",,,,,
OWASP Top 10,A09:2021 - Security Logging & Monitoring Failures,1,"Are you ensuring all login, access control failures, and server-side input validation failures can be logged? If yes, please explain.",,FOLLOW UP,,,
OWASP Top 10,A10:2021 - Server-Side Request Forgery (SSRF),1,"Do you prevent SSRF by implementing any defense in depth controls? If yes, please explain.",,FOLLOW UP,,,
PCI DSS Assessment Form,General,1,"Does your organization process, store, or transmit payment card data on behalf of our company?",,,,,
PCI DSS Assessment Form,General,2,Has your organization undergone a PCI DSS assessment in the last 12 months?,,,,,
PCI DSS Assessment Form,General,3,Did your organization receive a passing grade on the most recent PCI DSS assessment?,,,,,
PCI DSS Assessment Form,General,4,Are all payment card data stored in an encrypted format?,,,,,
PCI DSS Assessment Form,General,5,Is access to payment card data restricted to authorized personnel only?,,,,,
PCI DSS Assessment Form,General,6,Are access control systems in place to restrict access to payment card data?,,,,,
PCI DSS Assessment Form,General,7,Are all system components and software updated to the latest security patches?,,,,,
PCI DSS Assessment Form,General,8,Is your organization's network protected by a firewall?,,,,,
PCI DSS Assessment Form,General,9,Are all passwords used within your organization changed periodically?,,,,,
PCI DSS Assessment Form,General,10,Are all passwords used within your organization complex and unique?,,,,,
SIG Lite 2025,A. Enterprise Risk Management,A.1,Is there a formalized risk governance policy approved by management that defines the Enterprise Risk Management program requirements?,,,,,
SIG Lite 2025,B. Nth Party Management,B.1,Is there a third party risk management program that is reviewed and approved by management which includes 4th and Nth parties as part of the program?,,,,,
SIG Lite 2025,B. Nth Party Management,B.2,"For all organizational entities (e.g., vendor's vendors, subcontractors, fourth parties, Nth parties) is there a contractual relationship that extends obligations to each entity?",,,,,
SIG Lite 2025,C. Information Assurance,C.1,"Is there a documented, approved cybersecurity risk management policy communicated across the organization?",,,,,
SIG Lite 2025,C. Information Assurance,C.4,Is there a documented risk assessment process for information security with consistent and comparable results?,,,,,
SIG Lite 2025,D. Asset and Info Management,D.1,"Is there a management-approved asset management program that is communicated to constituents and has an owner to maintain, review, and manage IT assets (e.g. systems, hardware, services, and data), and respective controls, throughout their life cycles?",,,,,
SIG Lite 2025,D. Asset and Info Management,D.2,"Is there an acceptable use policy for information and associated assets that has been approved by management, communicated to appropriate constituents, and assigned an owner to maintain and periodically review the policy?",,,,,
SIG Lite 2025,D. Asset and Info Management,D.3,"Is there a records retention policy and retention schedule covering paper and electronic records, including email in support of applicable regulations, standards, and contractual requirements?",,,,,
SIG Lite 2025,E. Human Resources Security,E.1,"Are Human Resources policies and procedures approved by management, communicated to constituents and have an owner to maintain and review?",,,,,
SIG Lite 2025,E. Human Resources Security,E.3,"Does the organization have an employee performance process that is documented, maintained, and reviewed by management periodically?",,,,,
SIG Lite 2025,F. Physical and Environmental Security,F.1,"Has management approved a physical security program that is communicated to all parties involved, with an assigned owner responsible for maintenance and review?",,,Terese,,
SIG Lite 2025,G. IT Operations Management,G.1,"Are the organization's Information Technology Operations policies and procedures monitored, aligned with the organizational strategy, and communicated to the entire organization?",,,,,
SIG Lite 2025,G. IT Operations Management,G.2,"Is there an operational Change Management/Change Control policy or program that has been documented, approved by management, communicated to appropriate constituents, and assigned an owner to maintain and review the policy?",,,,,
SIG Lite 2025,G. IT Operations Management,G.3,"Are information security requirements specified and implemented when new systems are introduced, upgraded, or enhanced?",,,,,
SIG Lite 2025,H. Access Control,H.1,"Has management approved an access control policy, communicated it to constituents, appointed an owner to maintain it, and reviewed it?",,,,,
SIG Lite 2025,H. Access Control,H.2,"Has management approved, communicated, and enforced a password policy for systems that transmit, process, or store scoped data on all platforms and network devices?",,,,,
SIG Lite 2025,I. Application Management,I.1,"Are applications used to transmit, process, or store scoped data?",,,,,
SIG Lite 2025,I. Application Management,I.2,Is application development performed?,,,,,
SIG Lite 2025,I. Application Management,I.3,"Is a web site or web application supported, hosted, or maintained that processes scoped systems and data?",,,,,
SIG Lite 2025,J. Cybersecurity Incident Mgmt.,J.1,Has management approved and communicated a Cybersecurity Incident Management Program with a designated owner to maintain and review it?,,,,,
SIG Lite 2025,J. Cybersecurity Incident Mgmt.,J.4,Does the organization have a documented Incident Response Plan that outlines the escalation process?,,,,,
SIG Lite 2025,J. Cybersecurity Incident Mgmt.,J.5,Is there a specific methodology to regularly review events on scoped systems or systems containing scoped data to uncover potential incidents?,,,,,
SIG Lite 2025,J. Cybersecurity Incident Mgmt.,J.11,Has the organization outsourced its incident reporting responsibilities to a third-party service provider?,,,,,
SIG Lite 2025,J. Cybersecurity Incident Mgmt.,J.14,Are the actions conducted during an incident investigation formally documented and protected from unauthorized changes?,,,,,
SIG Lite 2025,K. Operational Resilience,K.1,"Has the organization established a Business Resilience Policy, designated an owner to maintain and review it, and communicated it?",,,,,
SIG Lite 2025,K. Operational Resilience,K.2,"Is there a formal, documented information technology disaster recovery exercise and testing program in place?",,FOLLOW UP,,,
SIG Lite 2025,K. Operational Resilience,K.3,Are there any dependencies on critical third party service providers?,,,,,
SIG Lite 2025,K. Operational Resilience,K.4,Is there a pandemic/infectious disease outbreak plan?,NO,FOLLOW UP,,,
SIG Lite 2025,K. Operational Resilience,K.5,Is scoped data backed up and stored offsite?,,,,,
SIG Lite 2025,K. Operational Resilience,K.6,"Is there a formal process focused on identifying and addressing risks of disruptive events to business operations (e.g., operational risk assessment?)",,,,,
SIG Lite 2025,K. Operational Resilience,K.7,Have formal procedures for business continuity been developed and documented?,,,,,
SIG Lite 2025,K. Operational Resilience,K.11,Is there a data retention policy or process with a retention schedule for scoped data?,,,,,
SIG Lite 2025,K. Operational Resilience,K.30,Is there a resiliency strategy that includes a multi-vendor strategy that mitigates key dependencies on third-party service providers?,NO,FOLLOW UP,,,
SIG Lite 2025,L. Compliance Management,L.1,"Are there policies and procedures to ensure compliance with applicable legislative, regulatory, and contractual requirements?",,,,,
SIG Lite 2025,L. Compliance Management,L.2,"Is a web site(s) maintained or hosted for the purpose of advertising, offering, managing, or servicing accounts, products, or services to clients' customers?",,,,,
SIG Lite 2025,L. Compliance Management,L.3,Are there policies and procedures for addressing antitrust and anti-competitive business practices?,,,,,
SIG Lite 2025,L. Compliance Management,L.4,Is there a documented internal compliance and ethics program?,,,,,
SIG Lite 2025,L. Compliance Management,L.5,"Are documented policies and procedures maintained to enforce applicable legal, regulatory, or contractual cybersecurity compliance obligations?",,,,,
SIG Lite 2025,L. Compliance Management,L.6,Are there policies and procedures for detecting and preventing internal and external fraud?,,,,,
SIG Lite 2025,M. Endpoint Security,M.1,"Do desktops, laptops, tablets, or smartphones transmit, process, or store Scoped data?",,,,,
SIG Lite 2025,M. Endpoint Security,M.1.3,M.1.3 Is there a mobile device management program in place that has been approved by management and communicated to appropriate constituents?,NO,FOLLOW UP,,,
SIG Lite 2025,M. Endpoint Security,M.1.5,M.1.5 Are non-company managed computing devices used to connect to the company network?,YES,FOLLOW UP,,,
SIG Lite 2025,M. Endpoint Security,M.1.5,M.1.6 Are any mobile devices with access to scoped data Constituent owned (BYOD)?,YES,FOLLOW UP,,,
SIG Lite 2025,M. Endpoint Security,M.3,,,,,,
SIG Lite 2025,N. Network Security,N.1,Does the organization build and maintain a secure network and systems?,,,,,
SIG Lite 2025,N. Network Security,N.2,"Does the organization have a Network Security Program with a defined policy that outlines security requirements, is reviewed regularly by an owner, and communicated to relevant parties?",,,,,
SIG Lite 2025,N. Network Security,N.3,"Is every connection to an external network terminated at a firewall e.g., the Internet, partner networks?",,,,,
SIG Lite 2025,N. Network Security,N.4,"Are all network devices patched with all, available high-risk security patches applied and verified?",,,,,
SIG Lite 2025,N. Network Security,N.5,Has management approved a policy for remote access to scoped systems and data communicated to constituents?,,,,,
SIG Lite 2025,N. Network Security,N.7,"Are Network Intrusion Detection/Prevention Systems (NIDS/NIPS) employed e.g., appliances, software, etc.?",,,,,
SIG Lite 2025,N. Network Security,N.8,"Is there an DMZ environment within the network that transmits, processes, or stores scoped systems and data e.g., web servers, DNS, directory services, remote access, etc.?",,,,,
SIG Lite 2025,N. Network Security,N.9,"Is there a wireless policy or program that has been approved by management, communicated to appropriate constituents and has an owner to maintain, and review the policy?",,,,,
SIG Lite 2025,N. Network Security,N.11,"Are there security standards, baseline configurations, patching, access control, and strong passwords for network devices such as Firewalls, Switches, Routers, and Wireless Access Points?",,,,,
SIG Lite 2025,N. Network Security,N.12,Are default passwords changed or disabled prior to placing network devices into production?,,,,,
SIG Lite 2025,"O. Environmental, Social and Governance (ESG)",O.1,Does the organization have and adhere to an environmental policy that sets out clear commitments and targets to improve the organization's footprint?,,,,,
SIG Lite 2025,"O. Environmental, Social and Governance (ESG)",O.2,Does the organization have material discharges to air as a direct result of its operations?,,,,,
SIG Lite 2025,"O. Environmental, Social and Governance (ESG)",O.3,"Does the organization have processes to ensure that there are no material discharges to land or water, as a direct result of business operations?",,,,,
SIG Lite 2025,"O. Environmental, Social and Governance (ESG)",O.4,"Has the organization implemented procedures to ensure the safe use, handling, storage, and disposal of hazardous/toxic chemicals and substances?",,,,,
SIG Lite 2025,"O. Environmental, Social and Governance (ESG)",O.5,"Does the organization maintain processes to ensure there are no adverse impacts on biodiversity, including deforestation, ecosystem integrity, natural resource conservation, and land degradation?",,,,,
SIG Lite 2025,"O. Environmental, Social and Governance (ESG)",O.6,"Are there any financial provisions in the annual accounting statements of the organization to address environmental issues, breaches, non-compliances, enforcements, prosecutions, or fines, if they exist?",,,,,
SIG Lite 2025,"O. Environmental, Social and Governance (ESG)",O.7,Does the organization have documented policies and procedures in place that address the prevention of modern slavery?,,,,,
SIG Lite 2025,"O. Environmental, Social and Governance (ESG)",O.8,Does the organization ensure that sub-contractors are treated fairly and ethically per local standards and regulations?,,,,,
SIG Lite 2025,"O. Environmental, Social and Governance (ESG)",O.9,Does the organization have a documented policy on Health and Safety?,,,,,
SIG Lite 2025,"O. Environmental, Social and Governance (ESG)",O.10,Has the organization established formal community relations programs to promote its involvement in the community?,,,,,
SIG Lite 2025,"O. Environmental, Social and Governance (ESG)",O.11,Does the organization have policies to ensure products and services do not generate health and safety concerns?,,,,,
SIG Lite 2025,"O. Environmental, Social and Governance (ESG)",O.12,"Does the organization have a formalized Environmental, Social, and Governance (ESG) program or set of policies & procedures aligned to its Enterprise Risk Management framework approved by executive management and the Board of Directors?",,,,,
SIG Lite 2025,"O. Environmental, Social and Governance (ESG)",O.13,"Does the organization have a formal diversity, equity, and inclusion (DEI) statement or policy?",,,,,
SIG Lite 2025,"O. Environmental, Social and Governance (ESG)",O.14,Does the organization have a documented policy for Ethical Sourcing?,,,,,
SIG Lite 2025,P. Privacy Management,P.1,"Is there collection, access, processing, disclosure, or retention of any classification of personal information or personal data of individuals on behalf of the client?",,,,,
SIG Lite 2025,P. Privacy Management,P.2,Does the organization have a policy for preserving privacy and protecting personally identifiable information (PII) and is this policy communicated to all relevant parties?,,,,,
SIG Lite 2025,P. Privacy Management,P.3,"Has the organization developed and maintained a formal privacy program for the protection of personal information collected, accessed, transmitted, processed, disclosed, or retained on behalf of the client?",,,,,
SIG Lite 2025,P. Privacy Management,P.4,"Is there a training and awareness program that addresses data privacy and data protection obligations based on role for new workers (e.g., officers, directors, employees, contractors) at the time of onboarding?",,,,,
SIG Lite 2025,P. Privacy Management,P.5,"Are there documented policies and procedures that define limits to the collection and use of personal information to authorized users regarding limiting the personal information collected and used by authorized users (e.g., minimum necessary, need to know, job role)?",,,,,
SIG Lite 2025,P. Privacy Management,P.6,"Does the organization have or maintain internet-facing website(s), mobile applications, platform, or other digital services or applications that collect, use, disclose, process, or retain client-scoped data that are accessed directly by individuals?",,,,,
SIG Lite 2025,P. Privacy Management,P.8,"Does the organization have a data governance program and designated body accountable to define and implement administrative, technical, and physical and environmental safeguards for the protection of client scoped data?",,,,,
SIG Lite 2025,P. Privacy Management,P.9,"Are there policies and procedures in place to detect and report privacy incidents (such as unauthorized disclosure, misuse, alteration, destruction, or other compromises of client data) in accordance with the Gramm-Leach-Bliley Act (GLBA) and the related Privacy and Security Safeguards Rules?",,,,,
SIG Lite 2025,P. Privacy Management,P.10,"Do any other parties (e.g., affiliates, fourth-Nth parties, contractors, subcontractors, sub-processors, sub-service organizations, etc.) have access to, receive, process, or retain client scoped data?",,,,,
SIG Lite 2025,P. Privacy Management,P.11,"Is there a data privacy or data protection role accountable for compliance, enforcement, and monitoring of its privacy obligations for client scoped data?",,,,,
SIG Lite 2025,P. Privacy Management,P.12,"If necessary, does the organization have a process to ensure that its registration information is accurate and complete with the appropriate competent authority no later than every 3 months?",,,,,
SIG Lite 2025,R. Artificial Intelligence,R.1,"Does the organization have a process to inform personnel of legal and regulatory considerations and requirements specific to its industry, sector, and business purpose, and the application context of the deployed AI system(s)?",,,,,
SIG Lite 2025,R. Artificial Intelligence,R.2,"Do organizational policies, processes, and procedures include the characteristics of trustworthy AI?",,,,,
SIG Lite 2025,R. Artificial Intelligence,R.4,Does the organization monitor and perform a periodic review of the AI risk management process and its outcomes that are planned to include organizational roles & responsibilities?,,,,,
SIG Lite 2025,R. Artificial Intelligence,R.5,Does the organization establish policies that define the creation and maintenance of AI system inventories?,,,,,
SIG Lite 2025,S. Supply Chain Risk Management (SCRM),S.1,"Does your organization have access control policies for suppliers, developers, and service providers that are passed down to sub-tier contractors?",,,,,
SIG Lite 2025,S. Supply Chain Risk Management (SCRM),S.32,"Is there a documented, approved Cybersecurity Supply Chain Risk Management (C-SCRM) policy or equivalent that addresses the strategy, objectives, and related processes for supplier adoption and contingency planning?",,,,,
SIG Lite 2025,S. Supply Chain Risk Management (SCRM),S.57,"Do the organization's media protection policies and procedures cover supply chain concerns, such as media within the supply chain and throughout the software development life cycle (SDLC)?",,,,,
SIG Lite 2025,S. Supply Chain Risk Management (SCRM),S.61,Does the organization integrate C-SCRM when developing a security planning policy?,,,,,
SIG Lite 2025,S. Supply Chain Risk Management (SCRM),S.80,Do the security policies and plans clearly define personnel responsibilities for supply chain security risk management activities?,,,,,
SIG Lite 2025,S. Supply Chain Risk Management (SCRM),S.100,"Do the organization's system and communications protection policies and procedures address cybersecurity risks throughout the supply chain regarding the enterprise's processes, systems, and networks?",,,,,
Insurances,Insurances,1,"Do you have document ""Cyber Liability / Data Privacy""?",,,,,
Security Audits,Security Audits,1,"Do you have document ""Penetration Testing""?",,,,,
Security Audits,Security Audits,2,"Do you have document ""General Security Audit""?",,,,,
