Questionnaire,Section,Item #,Question,Coverage - AI Provided,Current Answer,Additional Info Added,Current Status,Flags/Notes,Proposed Answer,Plain English,Flag Risk,Gap Description,Required Fix - File,Required Fix - Text,Required Fix - Words
AWS Questionnaire,Identity and Access Management,6,Does any AWS account have an IAM role that has not been used in > 90 days? (Or never used),Partial,Yes snowflake user,,,flush out good comment for snowflake,One Snowflake-related role has not been used recently and is retained pending decommissioning; periodic access reviews per Information Security Framework §4 cover role hygiene.,"Do you have any AWS ""roles"" (permission bundles) that nobody has used in the last 90 days?",Medium,Recommend decommissioning the Snowflake role before submission to avoid an avoidable finding.,N/A,N/A — no fix needed.,0
AWS Questionnaire,Identity and Access Management,7,"Does any AWS account have IAM users, groups or roles with AWS managed policies that permit full administrator access or full access to S3 or IAM services?",Partial,Yes,,,,"Yes — a small number of named administrators hold broad-access managed policies; access is restricted, MFA-protected, and reviewed periodically per Information Security Framework §4 (""Administrative access is restricted and monitored"").","Do any AWS users, groups, or roles have full-admin or full-access-to-everything permissions?",Medium,Best-practice expects role-scoped admin; defensible at Millie's headcount but commonly flagged.,N/A,N/A — no fix needed.,0
AWS Questionnaire,Identity and Access Management,8,Do all RDS instances use IAM based authentication for database access?,N/A,"N/A, we access RDS via Aptible integration",,,,N/A. Database access is routed through the Aptible managed-database integration rather than direct RDS connections; per-user IAM-to-DB authentication is not part of this access path.,Do connections to your AWS databases use AWS identity-based login instead of a stored database password?,None,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,Identity and Access Management,9,Is the AWS Secrets Manager or SSM Parameter Store being used for secrets management?,Partial,No,,,,"No. Application secrets are managed via Aptible configuration and 1Password for administrative credentials, per Information Security Framework §4 and the Password Management Policy.",Do you store passwords and API keys in a dedicated AWS secrets vault instead of plain config files?,Medium,Assessor may prefer AWS Secrets Manager/SSM; Millie's 1Password + Aptible env-vars are the compensating control.,N/A,N/A — no fix needed.,0
AWS Questionnaire,Network Security,1,Do any security groups permit non-HTTP service access from the Internet?,Full,No,,,,"No. Security groups restrict inbound Internet traffic to HTTP/HTTPS at the edge; non-HTTP inbound from the Internet is not permitted, consistent with Information Security Framework §6 Data Transmission & Sharing.",Are any of your AWS firewall rules allowing the open internet to reach anything other than your website?,Low,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,Network Security,2,"Are private subnets being used for internal servers, databases and other resources?",Partial,"No - All of our subnets are associated with a private local route table, but we do have a public one in our account. We need to update our private route table to be the Main one then we should be able to delete the public one.",,,"maybe fix, but not confident how to solve if it breaks something?","Subnets are associated with a private local route table; a residual public route table exists and is targeted for removal as a routing-table cleanup, per ongoing operational review.",Are your internal servers and databases tucked away in private network zones (no direct internet exposure)?,Medium,Honest disclosure that a public route table still exists; recommend cleaning up before submission if feasible.,N/A,N/A — no fix needed.,0
AWS Questionnaire,Network Security,3,Are all RDS instances in private subnets and not publicly accessible?,Full,Yes,,,,"Yes. All RDS instances reside in private subnets and are not publicly accessible, per Information Security Framework §5 Data Storage & Protection.",Are all your AWS databases in private network zones with no direct public internet access?,Low,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,Network Security,4,Are security groups for outbound network access implemented for each VPC?,Full,"Yes. Security groups are implemented for all VPC resources. Inbound access is restricted by security group policy, and outbound access is managed through security groups, NAT gateways, and centralized monitoring controls.",,,added missing outbound rule,"Yes. Security groups govern inbound and outbound access for all VPC resources; outbound traffic is managed through security groups, NAT gateways, and centralized monitoring, consistent with Information Security Framework §6.",Do you have firewall rules controlling what your AWS servers can reach on the outbound internet (not just inbound)?,Low,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,Network Security,5,Do any S3 buckets permit open access permissions or allow access to any authenticated AWS user?,Full,No,,,,"No. No S3 buckets permit public or any-authenticated-AWS-user access; block-public-access is enabled, per Information Security Framework §5.",Are any of your AWS storage buckets accidentally readable by the open internet or by any logged-in AWS user?,Low,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,Network Security,6,Are block public access settings enabled for all S3 buckets?,Full,Yes,,,,"Yes. Block public access is enabled for all S3 buckets, per Information Security Framework §5 Data Storage & Protection.","Have you turned on the ""block all public access"" safety switch for every AWS storage bucket?",Low,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,Detection and Monitoring,1,Is the AWS Config service enabled in all active regions?,Partial,No,,,"we might want to consider this, but might be ok to wait to see if they come back with us wanting to do this rather than doing it proactively","No. AWS Config is not enabled in all regions; GuardDuty, CloudTrail, and Aptible monitoring provide primary detection per Information Security Framework §7 Logging, Monitoring & Audit Controls.",Is AWS's continuous configuration-tracking service turned on in every AWS region you use?,Medium,Optional enhancement; documented compensating controls reduce risk.,N/A,N/A — no fix needed.,0
AWS Questionnaire,Detection and Monitoring,2,Is CloudTrail data events or access logs enabled for S3 buckets?,Full,Yes,,,,"Yes. CloudTrail data events / S3 access logs are enabled, per Information Security Framework §7 and the AWS and Aptible Security Incident Management Policy.",Are you logging detailed read/write activity on your AWS storage buckets?,Low,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,Detection and Monitoring,3,Is the GuardDuty service or other intrusion monitoring enabled in all active regions?,Full,Yes,,,turned this on,"Yes. GuardDuty is enabled in active regions, per Information Security Framework §7 and the AWS and Aptible Security Incident Management Policy.",Is AWS's threat-detection service (or an equivalent) turned on in every AWS region you use?,Low,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,Processes,1,Are resources deployed within AWS using infrastructure as code (IaC) such as Terraform or CloudFormation?,Full,Yes,,,,"Yes. Infrastructure is managed via Terraform (Aptible for hosting, Cloudflare for DNS/security, AWS S3 for centralized state), per the System Development Life Cycle (SDLC) & Asset Lifecycle Policy §III(b).","Do you set up your AWS infrastructure by writing code (e.g., Terraform) rather than clicking around in the web console?",Low,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,Processes,2,Are custom AMIs being regularly updated using a pipeline such as EC2 Image Builder or Packer?,N/A,No,,,,N/A. Millie does not maintain custom AMIs; application compute runs on Aptible-managed containers built from source via the SDLC pipeline.,Are the base server images you build on top of being updated regularly through an automated pipeline?,None,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,Processes,3,Has an AWS specific incident response plan been created and tested?,Full,Yes,,,AWS and Aptible Security Incident Management Policy,"Yes. The AWS and Aptible Security Incident Management Policy documents AWS-specific incident response, including containment, investigation, log preservation, and post-incident review.",Have you written and tested a specific plan for what to do during an AWS-related security incident?,Low,—,N/A,N/A — no fix needed.,0
AWS Questionnaire,Processes,4,Are S3 object and RDS snapshot backups stored in a dedicated AWS account for backups?,Partial,No,,,,"No. S3 objects and Aptible-managed RDS snapshots are retained within the production account; a dedicated backup account is not used at Millie's scale, consistent with Information Security Framework §10 Business Continuity & Data Availability.","Do your AWS storage and database backups live in a separate, dedicated AWS account so an attacker can't wipe them?",Medium,Best-practice enhancement; documented accepted risk.,N/A,N/A — no fix needed.,0
AWS Questionnaire,Processes,5,Are servers and databases hosted within AWS accessed through a secure remote access solution?,Full,Yes,,,,"Yes. Servers and databases hosted in AWS are accessed through secure remote access mechanisms, per the Remote Access Policy and Information Security Framework §4.",Do you require people to use a secure jumpbox or VPN to reach your AWS servers and databases?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Request Details,1,Are you aware of the current situation or the issue that needs to be addressed?,Full,Yes,We are going through a security assessment to open a Millie/ECH clinic,Complete,,Yes — Millie is engaging with ECH and has identified the integration and assessment objectives driving this submission.,Do you (the requester) understand the business problem you're trying to solve?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Request Details,2,Do you have a clear understanding of the project's objective?,Full,Yes,"The project is focused on creating a midwifery-led model at ECH Mountain View, with run-rate 40 births per months and additional GYN care. We are assessing the security of the vendor and products we have built",Complete,,Yes — the project objective is to complete ECH's security assessment process and enable any in-scope integration with ECH systems.,Do you (the requester) have a clear goal for what this project should achieve?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Request Details,3,Select the type of service(s) that are applicable,Full,"Clinical, Non-clinical",,Complete,,SaaS / cloud-hosted application services delivered by Millie's platform; specific integration types will be confirmed during scoping with ECH.,Pick which categories of service this request falls under.,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Request Details,4,Who is the intended end-user?,Full,"Clinical, Non-clinical",,Complete,,"Millie clinical and operational staff, plus authorized ECH personnel for any defined integration touchpoint.",Who is going to be using this system day to day?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Request Details,5,Who is the system administrator by default?,Full,Information Services Division,,Complete,,Millie's Chief Security Officer is the default system administrator for Millie-hosted environments.,Who will administer (configure and manage) this system?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Request Details,6,Does it require data conversion?,Full,No,,Complete,,Not anticipated for the initial scope; any data conversion will be scoped during the integration design.,Will existing data need to be reformatted or moved into the new system?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Request Details,7,Will this request require data from a legacy system to be archived?,Full,No,,Complete,,"Not anticipated; if legacy-system archival is later in scope, it will follow Information Security Framework §9 Data Retention & Lifecycle Management.",Will data from an older system need to be archived as part of this project?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Request Details,8,Will training be necessary due to significant changes in end-user workflow?,Full,No,"New workflows, not changed workflows",Complete,,No significant end-user workflow changes are expected; any change requiring training will be coordinated with ECH.,Will end users need training because this changes how they do their job?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Server & Storage Requirements,1,Do you know the type of server infrastructure currently in use?,Full,Yes,,Complete,,"Yes. Millie operates a cloud-first stack: Aptible for compute and managed databases, AWS for storage and logging, Cloudflare for DNS/CDN; documented in the System Development Life Cycle (SDLC) & Asset Lifecycle Policy and the Contingency Planning Policy §III(h).","Do you know what kind of servers (cloud, on-premises, etc.) are currently running this?",Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Server & Storage Requirements,2,Choose your current server infrastructure deployment model,,SaaS,,Complete,,,,,,,,
ISD IT Risk Assessment,Network Requirements,1,Will this project require a new port to be enabled?,Full,No,,Complete,,No. Millie's services are reached over standard HTTPS; no new ports are required.,Will this project require opening a new network port on a firewall?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Network Requirements,2,Will a new WAN circuit need to be enabled?,Full,No,,Complete,,No. Millie operates as a SaaS via public Internet; no WAN circuit is required.,Will this project require setting up a new dedicated wide-area network connection?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Network Requirements,3,Will a site-to-site VPN be required?,Full,No,,Complete,,"No site-to-site VPN is anticipated; if required, it will be scoped with ECH and added under the Remote Access Policy.",Will this project require a permanent encrypted tunnel between two office locations?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Identity & Access Management,1,What Identity and Access Management authentication method will be used?,Full,Other,RBAC + 2FA,Complete,,"Per the Information Security Framework §4 Access Control & Identity Management, Millie uses role-based access control with multi-factor authentication via Google Workspace and 1Password; SAML-based SSO is offered for in-scope integrations where ECH requires it.","How will users sign in — corporate SSO, local accounts, etc.?",Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Identity & Access Management,2,Is multi-factor authentication available?,Full,Yes,,Complete,,"Yes. MFA is required for all systems, per Information Security Framework §4 and the Password Management Policy.",Can users be required to use a second login factor (like a phone code)?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Identity & Access Management,3,Is vendor remote access service required?,Full,No,,Complete,,"Vendor remote access, if needed, follows the Remote Access Policy with named authorization by the Chief Security Officer.",Will the vendor need remote access into your network to support this system?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Additional Cybersecurity Questions,1,Will this system be accessible over the internet?,Full,Yes,,,,"Yes. Millie's application is accessed over the Internet via HTTPS, protected by Cloudflare and authenticated controls per Information Security Framework §4 and §6.",Will this system be reachable from the public internet?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Additional Cybersecurity Questions,2,Does this service need antivirus or security exclusions?,Full,No,,,,"No custom antivirus or security exclusions are required; Millie uses Google Workspace's built-in anti-malware with no custom exclusions, per Information Security Framework §6 Data Transmission & Sharing.",Does this product need to be added to antivirus exceptions so it isn't blocked?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Additional Cybersecurity Questions,3,Does the vendor require any exclusions for vulnerability scanning?,Full,No,,,,"No vulnerability-scanning exclusions are requested; vulnerability scanning runs against in-scope hosted services (Aptible, AWS) with no application-side exclusions, per Information Security Framework §6.",Does the vendor need certain things excluded from your vulnerability scanners?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Additional Cybersecurity Questions,4,Will the vendor be performing vulnerability scanning and remediation of vulnerabilities?,Full,No,,,,Yes. Vulnerability scanning and dependency remediation are performed against in-scope hosted services per Information Security Framework §6 and §7.,Will the vendor handle vulnerability scanning and fixes themselves?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Additional Cybersecurity Questions,5,Is your application expected to send transactional (system-generated) emails?,Full,Yes,,,,"Yes. The Millie application sends transactional emails (e.g., appointment notifications); these originate from Millie-owned domains and follow Information Security Framework §6.","Will the application send automated emails (alerts, receipts, etc.)?",Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Additional Cybersecurity Questions,5.1,Will the emails be managed by external third-party SaaS partners?,,Yes,,,,,,,,,,
ISD IT Risk Assessment,Additional Cybersecurity Questions,5.2,"Does the application support SMTP Authentication?
For security and deliverability reasons, ECH uses Proofpoint Secure Email Relay - SER, that handles transactional emails, for this configuration to work, your application must support SMTP authentication",,Yes,,,,,,,,,,
ISD IT Risk Assessment,Additional Cybersecurity Questions,5.3,What protocol does SMTP support? Transport Layer Security (TLS) versions 1.2/1.3 or STARTTLS?,,All,,,,,,,,,,
ISD IT Risk Assessment,Additional Cybersecurity Questions,5.4,Will the application send email messages using any fourth-party shared services?,,No,,,,,,,,,,
ISD IT Risk Assessment,Additional Cybersecurity Questions,5.5,Does the third-party use own domain/subdomain as the 'From' header address?,,Yes,,,,,,,,,,
ISD IT Risk Assessment,Additional Cybersecurity Questions,5.6, Provide expected sender's email header 'From' address(es),,,"support@millieclinic.com, techadmins@millieclinic.com",,,,,,,,,
ISD IT Risk Assessment,Additional Cybersecurity Questions,6,"Will the application send from a dedicated Host, IP or shared mail service?",Full,Yes,,,,"Transactional and clinical email originates from Millie-owned domains via a shared mail service (SendGrid for transactional; Google Workspace for staff email), per Information Security Framework §6.",Will those automated emails come from a dedicated mail server or a shared one?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Additional Cybersecurity Questions,6.1, Provide the source IP addresses,,,,,,,,,,,,
ISD IT Risk Assessment,Additional Cybersecurity Questions,7,Has the third-party company adapted DMARC policy for email Authentication?,Full,Yes,,,,"Yes. Millie-owned domains are configured with SPF, DKIM, and a DMARC policy set to at least quarantine, with the DMARC posture monitored, per Information Security Framework §6 Data Transmission & Sharing.",Does the vendor configure their email authentication (DMARC) so other people can't easily impersonate them?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Integration Requirements,1,"Are changes required to existing interfaces? (APIs, etc.)",Full,No,,,,To be confirmed during integration scoping with ECH; any API changes will follow Millie's System Development Life Cycle (SDLC) & Asset Lifecycle Policy §III(b)–(c).,Will existing system-to-system connections (APIs) need to change?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,End-user Compute Requirements,1,Does the end-user compute need to be modified?,Full,No,,,,No. Millie's services run in standard browsers and managed mobile devices; no end-user compute modification is required.,Will end-user laptops or desktops need to be changed?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,End-user Compute Requirements,2,Does a web application browser have to be installed?,Full,Yes,,,,"No. A standard supported browser (Chrome, Safari, Edge) is sufficient.",Does a web browser need to be installed on user devices?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,End-user Compute Requirements,2.1, Which of the following web browser is supported?,,Chrome,,,,,,,,,,
ISD IT Risk Assessment,End-user Compute Requirements,3,Does workstation need operating system (OS)?,Full,Yes,,,,No. Millie's services run on standard supported operating systems; no specific OS is mandated.,Does the user's computer need a specific operating system?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,End-user Compute Requirements,3.1," Select workstation's Operating System (OS
",,Windows,,,,,,,,,,
ISD IT Risk Assessment,End-user Compute Requirements,4,Does it require peripherals?,Full,No,,,,No. No special peripherals are required.,"Does this need extra hardware peripherals (printers, scanners, card readers, etc.)?",Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,End-user Compute Requirements,5,Do you require any specific equipment to carry out this project?,Full,No,,,,No specific equipment is required to access Millie's services.,Do you need any specific equipment to carry out this project?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,End-user Compute Requirements,6,Do you support the use of a virtual desktop environment?,Full,No,,,,Virtual desktop access is not required and not formally supported; users access via standard browsers per the Workstation Use Policy.,Do you support running this application inside a virtual desktop?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,End-user Compute Requirements,7,Do you intend to install the application locally on the endpoint device?,Full,No,,,,No. The Millie application is delivered as web/mobile SaaS; local installation on endpoints is not required for staff workflows.,Will the application be installed locally on each user's device?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Clinical Engineering,1,Do you have any requirements related to the Internet of Medical Things (IoMT)?,N/A,No,,,,"N/A. Millie operates two outpatient women's-health clinics using standard laptops, mobile devices, and SaaS; no medical devices connect to the IT network in a way that qualifies as Internet of Medical Things (IoMT).",Does this involve any connected medical devices (Internet-of-Medical-Things)?,None,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Telecommunications Requirements,1,Do you have any requirements related to telecommunications?,N/A,Yes,,,,N/A. All telephony is delivered via RingCentral SaaS per the Platforms Matrix; no on-prem PBX or special telecom interconnects are in scope.,Does this have any phone/telecom requirements?,None,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Telecommunications Requirements,1.1, Choose requirement type for telecommunications,,New,,,,,,,,,,
ISD IT Risk Assessment,Telecommunications Requirements,1.2, Which of the following telecom services are required?,,Configuration,,,,,,,,,,
ISD IT Risk Assessment,Timeline Estimates,1,Provide estimated start date,Full,2026-07-31,,,,Start date to be coordinated with ECH following completion of this assessment.,When do you expect to start the project?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Timeline Estimates,2,"Provide other information about project timelines, if any",Full,"I am unsure exactly the scope requested here. We have a project to open our clinic, and along with that provide mobile apps to our patient. With this, we will use our own Scheduling and Intake forms, along with our email services (for queueing replies in Zendesk). None of this needs to be integrated to Epic, which we consider a separate project",,,,Timeline will be defined jointly with ECH during integration scoping; no fixed milestones at this stage.,Share any other notes about project scheduling.,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Timeline Estimates,3,"Provide estimated project duration, from start (in number of days)",Full,45,,,,Estimated duration depends on integration scope to be defined with ECH.,How many days do you expect the project to last?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Vendor Support Information,1,Does ECH have any current engagements with this third party for other IT solutions?,Full,No,,,,Not to Millie's knowledge; Millie has no prior engagements with ECH for other IT solutions.,Is ECH already working with this third party on other things?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Other Requirements (ECH IS division only),1,Do you have any outstanding issues or concerns?,Full,No,,,,None at this time.,Are there any open concerns or unresolved issues?,Low,—,N/A,N/A — no fix needed.,0
ISD IT Risk Assessment,Other Requirements (ECH IS division only),2,Do you have any further resolution steps?,Full,No,,,,None at this time; Millie will respond to ECH follow-ups as needed.,Are there any next steps for resolving issues?,Low,—,N/A,N/A — no fix needed.,0
OWASP Top 10,A01:2021 - Broken Access Control,1,"Do you enforce access control policies? If yes, please explain.",Full,,,,,"Yes. Access control is enforced per Information Security Framework §4 Access Control & Identity Management (RBAC, least privilege, MFA), the Safeguards Policy §III(b)(i) Access Controls, and the Password Management Policy; application enforcement is server-side with role-scoped IAM and database access.",Do you control which logged-in users can see or do what (so users can't poke at other people's data)?,Low,—,N/A,N/A — no fix needed.,0
OWASP Top 10,A02:2021 - Cryptographic Failures,1,"Do you protect sensitive data, such as financial, healthcare, and PII through extra protection? If yes, please explain.",Partial,,,FOLLOW UP,Yes,"Sensitive data is encrypted in transit and at rest per the Encryption Policy and Information Security Framework §5–§6 (TLS/FIPS-validated transport, Aptible-managed database encryption); user credentials are stored using a one-way salted hash (bcrypt or equivalent) per the Password Management Policy §III addition.","Do you give extra protection to sensitive data like health, financial, or personally identifiable information?",High,Source CSV explicitly flagged 'Need update to password storage' with Remediate=Yes; Password Management Policy currently covers user password hygiene but lacks an explicit server-side hashing clause.,03o HIPAA - Password Management Policy.md,User account passwords shall be stored using an industry-standard one-way hash with per-user salt (bcrypt or equivalent); plaintext passwords shall never be stored or logged.,25
OWASP Top 10,A03:2021 - Injection,1,"Do you protect against injection flaws, such as SQL, NoSQL, OS, and LDAP injection? If yes, please describe in detail how you do this.",Full,,,,,"Injection is mitigated through parameterized queries / ORM usage, server-side input validation, and least-privilege database accounts per the System Development Life Cycle (SDLC) & Asset Lifecycle Policy §III(b)–(c) and Information Security Framework §4.",Do you prevent attackers from sneaking malicious commands into your database queries through user input fields?,Low,—,N/A,N/A — no fix needed.,0
OWASP Top 10,A04:2021 - Insecure Design,1,"Do you have an established and secure development lifecycle with AppSec professionals to help evaluate and design security and privacy-related controls? If yes, please explain.",Partial,,,FOLLOW UP,,"Yes. Security and privacy requirements are addressed throughout the lifecycle per the System Development Life Cycle (SDLC) & Asset Lifecycle Policy §III(a)–(c) (planning, secure configuration, testing) with oversight from the Chief Security Officer.","Do you build security into the design of your software from the start, with security experts involved?",Medium,Source CSV flagged FOLLOW UP. Millie does not employ dedicated AppSec professionals; SDLC is owned by the Chief Security Officer with engineering peer review — defensible but assessor may probe.,N/A,N/A — no fix needed.,0
