"Questionnaire","Section","Item #","Question","Current Answer","Current Status","Remediate Flag","Coverage","Proposed Answer","Flag Risk","Gap Description","Required Fix - File","Required Fix - Text","Required Fix - Words"
"AWS Questionnaire","Identity and Access Management","8","Do all RDS instances use IAM based authentication for database access?","N/A, we access RDS via Aptible integration","","","N/A","N/A. Database access is routed through the Aptible managed-database integration rather than direct RDS connections; per-user IAM-to-DB authentication is not part of this access path.","None","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Identity and Access Management","9","Is the AWS Secrets Manager or SSM Parameter Store being used for secrets management?","No","","","Partial","No. Application secrets are managed via Aptible configuration and 1Password for administrative credentials, per Information Security Framework §4 and the Password Management Policy.","Medium","Assessor may prefer AWS Secrets Manager/SSM; Millie's 1Password + Aptible env-vars are the compensating control.","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Network Security","1","Do any security groups permit non-HTTP service access from the Internet?","No","","","Full","No. Security groups restrict inbound Internet traffic to HTTP/HTTPS at the edge; non-HTTP inbound from the Internet is not permitted, consistent with Information Security Framework §6 Data Transmission & Sharing.","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Network Security","2","Are private subnets being used for internal servers, databases and other resources?","No - All of our subnets are associated with a private local route table, but we do have a public one in our account. We need to update our private route table to be the Main one then we should be able to delete the public one.","","maybe fix, but not confident how to solve if it breaks something?","Partial","Subnets are associated with a private local route table; a residual public route table exists and is targeted for removal as a routing-table cleanup, per ongoing operational review.","Medium","Honest disclosure that a public route table still exists; recommend cleaning up before submission if feasible.","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Network Security","3","Are all RDS instances in private subnets and not publicly accessible?","Yes","","","Full","Yes. All RDS instances reside in private subnets and are not publicly accessible, per Information Security Framework §5 Data Storage & Protection.","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Network Security","4","Are security groups for outbound network access implemented for each VPC?","Yes. Security groups are implemented for all VPC resources. Inbound access is restricted by security group policy, and outbound access is managed through security groups, NAT gateways, and centralized monitoring controls.","","added missing outbound rule","Full","Yes. Security groups govern inbound and outbound access for all VPC resources; outbound traffic is managed through security groups, NAT gateways, and centralized monitoring, consistent with Information Security Framework §6.","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Network Security","5","Do any S3 buckets permit open access permissions or allow access to any authenticated AWS user?","No","","","Full","No. No S3 buckets permit public or any-authenticated-AWS-user access; block-public-access is enabled, per Information Security Framework §5.","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Network Security","6","Are block public access settings enabled for all S3 buckets?","Yes","","","Full","Yes. Block public access is enabled for all S3 buckets, per Information Security Framework §5 Data Storage & Protection.","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Detection and Monitoring","1","Is the AWS Config service enabled in all active regions?","No","","we might want to consider this, but might be ok to wait to see if they come back with us wanting to do this rather than doing it proactively","Partial","No. AWS Config is not enabled in all regions; GuardDuty, CloudTrail, and Aptible monitoring provide primary detection per Information Security Framework §7 Logging, Monitoring & Audit Controls.","Medium","Optional enhancement; documented compensating controls reduce risk.","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Detection and Monitoring","2","Is CloudTrail data events or access logs enabled for S3 buckets?","Yes","","","Full","Yes. CloudTrail data events / S3 access logs are enabled, per Information Security Framework §7 and the AWS and Aptible Security Incident Management Policy.","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Detection and Monitoring","3","Is the GuardDuty service or other intrusion monitoring enabled in all active regions?","Yes","","turned this on","Full","Yes. GuardDuty is enabled in active regions, per Information Security Framework §7 and the AWS and Aptible Security Incident Management Policy.","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Processes","1","Are resources deployed within AWS using infrastructure as code (IaC) such as Terraform or CloudFormation?","Yes","","","Full","Yes. Infrastructure is managed via Terraform (Aptible for hosting, Cloudflare for DNS/security, AWS S3 for centralized state), per the System Development Life Cycle (SDLC) & Asset Lifecycle Policy §III(b).","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Processes","2","Are custom AMIs being regularly updated using a pipeline such as EC2 Image Builder or Packer?","No","","","N/A","N/A. Millie does not maintain custom AMIs; application compute runs on Aptible-managed containers built from source via the SDLC pipeline.","None","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Processes","3","Has an AWS specific incident response plan been created and tested?","Yes","","AWS and Aptible Security Incident Management Policy","Full","Yes. The AWS and Aptible Security Incident Management Policy documents AWS-specific incident response, including containment, investigation, log preservation, and post-incident review.","Low","—","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Processes","4","Are S3 object and RDS snapshot backups stored in a dedicated AWS account for backups?","No","","","Partial","No. S3 objects and Aptible-managed RDS snapshots are retained within the production account; a dedicated backup account is not used at Millie's scale, consistent with Information Security Framework §10 Business Continuity & Data Availability.","Medium","Best-practice enhancement; documented accepted risk.","N/A","N/A — no fix needed.","0"
"AWS Questionnaire","Processes","5","Are servers and databases hosted within AWS accessed through a secure remote access solution?","Yes","","","Full","Yes. Servers and databases hosted in AWS are accessed through secure remote access mechanisms, per the Remote Access Policy and Information Security Framework §4.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Request Details","1","Are you aware of the current situation or the issue that needs to be addressed?","","","","Full","Yes — Millie is engaging with ECH and has identified the integration and assessment objectives driving this submission.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Request Details","2","Do you have a clear understanding of the project's objective?","","","","Full","Yes — the project objective is to complete ECH's security assessment process and enable any in-scope integration with ECH systems.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Request Details","3","Select the type of service(s) that are applicable","","","","Full","SaaS / cloud-hosted application services delivered by Millie's platform; specific integration types will be confirmed during scoping with ECH.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Request Details","4","Who is the intended end-user?","","","","Full","Millie clinical and operational staff, plus authorized ECH personnel for any defined integration touchpoint.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Request Details","5","Who is the system administrator by default?","","","","Full","Millie's Chief Security Officer is the default system administrator for Millie-hosted environments.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Request Details","6","Does it require data conversion?","","","","Full","Not anticipated for the initial scope; any data conversion will be scoped during the integration design.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Request Details","7","Will this request require data from a legacy system to be archived?","","","","Full","Not anticipated; if legacy-system archival is later in scope, it will follow Information Security Framework §9 Data Retention & Lifecycle Management.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Request Details","8","Will training be necessary due to significant changes in end-user workflow?","","","","Full","No significant end-user workflow changes are expected; any change requiring training will be coordinated with ECH.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Server & Storage Requirements","1","Do you know the type of server infrastructure currently in use?","","","","Full","Yes. Millie operates a cloud-first stack: Aptible for compute and managed databases, AWS for storage and logging, Cloudflare for DNS/CDN; documented in the System Development Life Cycle (SDLC) & Asset Lifecycle Policy and the Contingency Planning Policy §III(h).","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Network Requirements","1","Will this project require a new port to be enabled?","","","","Full","No. Millie's services are reached over standard HTTPS; no new ports are required.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Network Requirements","2","Will a new WAN circuit need to be enabled?","","","","Full","No. Millie operates as a SaaS via public Internet; no WAN circuit is required.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Network Requirements","3","Will a site-to-site VPN be required?","","","","Full","No site-to-site VPN is anticipated; if required, it will be scoped with ECH and added under the Remote Access Policy.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Identity & Access Management","1","What Identity and Access Management authentication method will be used?","","","","Full","Per the Information Security Framework §4 Access Control & Identity Management, Millie uses role-based access control with multi-factor authentication via Google Workspace and 1Password; SAML-based SSO is offered for in-scope integrations where ECH requires it.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Identity & Access Management","2","Is multi-factor authentication available?","","","","Full","Yes. MFA is required for all systems, per Information Security Framework §4 and the Password Management Policy.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Identity & Access Management","3","Is vendor remote access service required?","","","","Full","Vendor remote access, if needed, follows the Remote Access Policy with named authorization by the Chief Security Officer.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Additional Cybersecurity Questions","1","Will this system be accessible over the internet?","","","","Full","Yes. Millie's application is accessed over the Internet via HTTPS, protected by Cloudflare and authenticated controls per Information Security Framework §4 and §6.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Additional Cybersecurity Questions","2","Does this service need antivirus or security exclusions?","","","","Full","No custom antivirus or security exclusions are required; Millie uses Google Workspace's built-in anti-malware with no custom exclusions, per Information Security Framework §6 Data Transmission & Sharing.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Additional Cybersecurity Questions","3","Does the vendor require any exclusions for vulnerability scanning?","","","","Full","No vulnerability-scanning exclusions are requested; vulnerability scanning runs against in-scope hosted services (Aptible, AWS) with no application-side exclusions, per Information Security Framework §6.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Additional Cybersecurity Questions","4","Will the vendor be performing vulnerability scanning and remediation of vulnerabilities?","","","","Full","Yes. Vulnerability scanning and dependency remediation are performed against in-scope hosted services per Information Security Framework §6 and §7.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Additional Cybersecurity Questions","5","Is your application expected to send transactional (system-generated) emails?","","","","Full","Yes. The Millie application sends transactional emails (e.g., appointment notifications); these originate from Millie-owned domains and follow Information Security Framework §6.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Additional Cybersecurity Questions","6","Will the application send from a dedicated Host, IP or shared mail service?","","","","Full","Transactional and clinical email originates from Millie-owned domains via a shared mail service (SendGrid for transactional; Google Workspace for staff email), per Information Security Framework §6.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Additional Cybersecurity Questions","7","Has the third-party company adapted DMARC policy for email Authentication?","","","","Full","Yes. Millie-owned domains are configured with SPF, DKIM, and a DMARC policy set to at least quarantine, with the DMARC posture monitored, per Information Security Framework §6 Data Transmission & Sharing.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Integration Requirements","1","Are changes required to existing interfaces? (APIs, etc.)","","","","Full","To be confirmed during integration scoping with ECH; any API changes will follow Millie's System Development Life Cycle (SDLC) & Asset Lifecycle Policy §III(b)–(c).","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","End-user Compute Requirements","1","Does the end-user compute need to be modified?","","","","Full","No. Millie's services run in standard browsers and managed mobile devices; no end-user compute modification is required.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","End-user Compute Requirements","2","Does a web application browser have to be installed?","","","","Full","No. A standard supported browser (Chrome, Safari, Edge) is sufficient.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","End-user Compute Requirements","3","Does workstation need operating system (OS)?","","","","Full","No. Millie's services run on standard supported operating systems; no specific OS is mandated.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","End-user Compute Requirements","4","Does it require peripherals?","","","","Full","No. No special peripherals are required.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","End-user Compute Requirements","5","Do you require any specific equipment to carry out this project?","","","","Full","No specific equipment is required to access Millie's services.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","End-user Compute Requirements","6","Do you support the use of a virtual desktop environment?","","","","Full","Virtual desktop access is not required and not formally supported; users access via standard browsers per the Workstation Use Policy.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","End-user Compute Requirements","7","Do you intend to install the application locally on the endpoint device?","","","","Full","No. The Millie application is delivered as web/mobile SaaS; local installation on endpoints is not required for staff workflows.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Clinical Engineering","1","Do you have any requirements related to the Internet of Medical Things (IoMT)?","","","","N/A","N/A. Millie operates two outpatient women's-health clinics using standard laptops, mobile devices, and SaaS; no medical devices connect to the IT network in a way that qualifies as Internet of Medical Things (IoMT).","None","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Telecommunications Requirements","1","Do you have any requirements related to telecommunications?","","","","N/A","N/A. All telephony is delivered via RingCentral SaaS per the Platforms Matrix; no on-prem PBX or special telecom interconnects are in scope.","None","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Timeline Estimates","1","Provide estimated start date","","","","Full","Start date to be coordinated with ECH following completion of this assessment.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Timeline Estimates","2","Provide other information about project timelines, if any","","","","Full","Timeline will be defined jointly with ECH during integration scoping; no fixed milestones at this stage.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Timeline Estimates","3","Provide estimated project duration, from start (in number of days)","","","","Full","Estimated duration depends on integration scope to be defined with ECH.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Vendor Support Information","1","Does ECH have any current engagements with this third party for other IT solutions?","","","","Full","Not to Millie's knowledge; Millie has no prior engagements with ECH for other IT solutions.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Other Requirements (ECH IS division only)","1","Do you have any outstanding issues or concerns?","","","","Full","None at this time.","Low","—","N/A","N/A — no fix needed.","0"
"ISD IT Risk Assessment","Other Requirements (ECH IS division only)","2","Do you have any further resolution steps?","","","","Full","None at this time; Millie will respond to ECH follow-ups as needed.","Low","—","N/A","N/A — no fix needed.","0"
"OWASP Top 10","A01:2021 - Broken Access Control","1","Do you enforce access control policies? If yes, please explain.","","","","Full","Yes. Access control is enforced per Information Security Framework §4 Access Control & Identity Management (RBAC, least privilege, MFA), the Safeguards Policy §III(b)(i) Access Controls, and the Password Management Policy; application enforcement is server-side with role-scoped IAM and database access.","Low","—","N/A","N/A — no fix needed.","0"
"OWASP Top 10","A02:2021 - Cryptographic Failures","1","Do you protect sensitive data, such as financial, healthcare, and PII through extra protection? If yes, please explain.","","FOLLOW UP","Yes","Partial","Sensitive data is encrypted in transit and at rest per the Encryption Policy and Information Security Framework §5–§6 (TLS/FIPS-validated transport, Aptible-managed database encryption); user credentials are stored using a one-way salted hash (bcrypt or equivalent) per the Password Management Policy §III addition.","High","Source CSV explicitly flagged 'Need update to password storage' with Remediate=Yes; Password Management Policy currently covers user password hygiene but lacks an explicit server-side hashing clause.","03o HIPAA - Password Management Policy.md","User account passwords shall be stored using an industry-standard one-way hash with per-user salt (bcrypt or equivalent); plaintext passwords shall never be stored or logged.","25"
"OWASP Top 10","A03:2021 - Injection","1","Do you protect against injection flaws, such as SQL, NoSQL, OS, and LDAP injection? If yes, please describe in detail how you do this.","","","","Full","Injection is mitigated through parameterized queries / ORM usage, server-side input validation, and least-privilege database accounts per the System Development Life Cycle (SDLC) & Asset Lifecycle Policy §III(b)–(c) and Information Security Framework §4.","Low","—","N/A","N/A — no fix needed.","0"
"OWASP Top 10","A04:2021 - Insecure Design","1","Do you have an established and secure development lifecycle with AppSec professionals to help evaluate and design security and privacy-related controls? If yes, please explain.","","FOLLOW UP","","Partial","Yes. Security and privacy requirements are addressed throughout the lifecycle per the System Development Life Cycle (SDLC) & Asset Lifecycle Policy §III(a)–(c) (planning, secure configuration, testing) with oversight from the Chief Security Officer.","Medium","Source CSV flagged FOLLOW UP. Millie does not employ dedicated AppSec professionals; SDLC is owned by the Chief Security Officer with engineering peer review — defensible but assessor may probe.","N/A","N/A — no fix needed.","0"
"OWASP Top 10","A05:2021 - Security Misconfiguration","1","Do you have a repeatable security hardening process? If yes, please explain.","","","","Full","Yes. Hardening is repeatable through Terraform-managed infrastructure (per AWS Processes), secure-by-default configurations on Aptible, and pre-deploy validation per the System Development Life Cycle (SDLC) & Asset Lifecycle Policy §III(b)–(c).","Low","—","N/A","N/A — no fix needed.","0"
"OWASP Top 10","A06:2021 - Vulnerable and Outdated Components","1","Do you regularly scan for vulnerabilities and is there a patch management process in place? If yes, please explain.","","FOLLOW UP","Yes","Partial","Yes. Vulnerability scanning runs against in-scope hosted services (Aptible, AWS) per Information Security Framework §6; dependency vulnerabilities are surfaced via GitHub Dependabot and triaged at least weekly with Critical/High remediated within 30 days and Medium within 90 days per the Framework §6 patch-SLA addition.","High","Source CSV flagged 'Upgrade Github, Remediate=Yes'; current policy lacks an explicit scanner-cadence-and-patch-SLA clause.","Millie Information Security & Data Governance Framework (1).md","Dependency vulnerabilities shall be surfaced via GitHub Dependabot and triaged at least weekly; Critical and High findings shall be remediated within 30 days and Medium findings within 90 days, subject to the risk-management exception process.","35"
"OWASP Top 10","A07:2021 - Identification and Authentication Failures","1","Do you protect against attackers compromising passwords, keys, or session tokens? If yes, please explain.","","FOLLOW UP","Yes","Partial","Yes. Passwords, keys, and tokens are protected per the Password Management Policy (strong construction, no shared use, deactivation on termination), the Encryption Policy (FIPS 140-2 key custody), and the §III session-token addition (signed short-lived tokens, rate-limited failed logins, session invalidation on logout / password change / role revocation).","High","Source CSV flagged Remediate=Yes; Password Management Policy currently covers user password hygiene but lacks explicit session-token / brute-force language.","03o HIPAA - Password Management Policy.md","Application sessions shall be protected by signed, short-lived tokens; failed-login attempts shall be rate-limited and monitored; and session invalidation shall occur on logout, password change, or role revocation.","28"
"OWASP Top 10","A08:2021 - Software and Data Integrity Failures","1","Do you have code and infrastructure protection against integrity violations? If yes, please explain.","","","","Full","Yes. Code integrity is protected via signed commits, protected branches, and peer-reviewed pull requests in GitHub, plus Aptible's signed deploy pipeline, per the System Development Life Cycle (SDLC) & Asset Lifecycle Policy §III(b)–(c).","Low","—","N/A","N/A — no fix needed.","0"
"OWASP Top 10","A09:2021 - Security Logging & Monitoring Failures","1","Are you ensuring all login, access control failures, and server-side input validation failures can be logged? If yes, please explain.","","FOLLOW UP","","Partial","Yes. Login activity, access control failures, and application activity are logged via Aptible, AWS CloudWatch, GuardDuty, and internal admin dashboards per Information Security Framework §7; reviews follow the Security Incident Management Policy.","Medium","Source CSV flagged FOLLOW UP; defensible but assessor may want explicit server-side input validation logging coverage.","N/A","N/A — no fix needed.","0"
"OWASP Top 10","A10:2021 - Server-Side Request Forgery (SSRF)","1","Do you prevent SSRF by implementing any defense in depth controls? If yes, please explain.","","FOLLOW UP","","Partial","Yes. Outbound traffic is constrained by VPC security groups and NAT gateways per Information Security Framework §6 and AWS Network Security row 4; application-layer URL allow-listing is applied for known external integrations.","Medium","Source CSV flagged FOLLOW UP; defensible posture but no SSRF-specific defense-in-depth language in policy.","N/A","N/A — no fix needed.","0"
"PCI DSS Assessment Form","General","1","Does your organization process, store, or transmit payment card data on behalf of our company?","","","","N/A","N/A. Millie does not process, store, or transmit cardholder data on behalf of ECH; payments are outsourced to a third-party processor and Millie is a SAQ-A-style merchant with no card data in scope.","None","—","N/A","N/A — no fix needed.","0"
"PCI DSS Assessment Form","General","2","Has your organization undergone a PCI DSS assessment in the last 12 months?","","","","N/A","N/A. Because Millie has no cardholder data environment, a PCI DSS assessment is not applicable; payments are handled by a third-party PCI-compliant processor.","None","—","N/A","N/A — no fix needed.","0"
"PCI DSS Assessment Form","General","3","Did your organization receive a passing grade on the most recent PCI DSS assessment?","","","","N/A","N/A. No PCI DSS assessment is performed because Millie does not handle cardholder data.","None","—","N/A","N/A — no fix needed.","0"
"PCI DSS Assessment Form","General","4","Are all payment card data stored in an encrypted format?","","","","N/A","N/A. Millie does not store payment card data; tokenization and storage are handled by the third-party processor.","None","—","N/A","N/A — no fix needed.","0"
"PCI DSS Assessment Form","General","5","Is access to payment card data restricted to authorized personnel only?","","","","N/A","N/A. Millie does not store or access payment card data; the third-party processor controls access to cardholder data.","None","—","N/A","N/A — no fix needed.","0"
"PCI DSS Assessment Form","General","6","Are access control systems in place to restrict access to payment card data?","","","","N/A","N/A. No cardholder data environment exists at Millie; access-control systems apply to Millie's clinical and operational systems per Information Security Framework §4, not to card data.","None","—","N/A","N/A — no fix needed.","0"
"PCI DSS Assessment Form","General","7","Are all system components and software updated to the latest security patches?","","","","N/A","Yes — Millie maintains patching for its own systems per Information Security Framework §6 and the SDLC Policy §III(d), but cardholder-data systems specifically are out of scope (handled by the third-party processor).","None","—","N/A","N/A — no fix needed.","0"
"PCI DSS Assessment Form","General","8","Is your organization's network protected by a firewall?","","","","N/A","Cardholder-data network protection is provided by the third-party PCI-compliant payment processor; Millie's own cloud network is protected per Information Security Framework §6 and AWS Network Security responses.","None","—","N/A","N/A — no fix needed.","0"
"PCI DSS Assessment Form","General","9","Are all passwords used within your organization changed periodically?","","","","N/A","N/A for cardholder-data accounts (none exist at Millie); Millie's general password rotation/management for its own systems is per the Password Management Policy.","None","—","N/A","N/A — no fix needed.","0"
"PCI DSS Assessment Form","General","10","Are all passwords used within your organization complex and unique?","","","","N/A","N/A for cardholder-data accounts (none exist at Millie); Millie's general password complexity requirements for its own systems are per the Password Management Policy §III(a) (length, character classes, prohibited patterns).","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","A. Enterprise Risk Management","A.1","Is there a formalized risk governance policy approved by management that defines the Enterprise Risk Management program requirements?","","","","Full","Yes. The HIPAA Risk Management Policy and Information Security Framework §2 Governance & Risk Management together constitute Millie's risk governance program; annual risk assessments are presented to the Risk Review Committee and, for material risks, to the Board.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","B. Nth Party Management","B.1","Is there a third party risk management program that is reviewed and approved by management which includes 4th and Nth parties as part of the program?","","","","Full","Yes. Information Security Framework §11 Third-Party & Vendor Management defines a risk-based third-party program owned by the Chief Security Officer and Chief Privacy Officer, and explicitly covers fourth and Nth parties through BAA flow-down requirements.","Low","—","N/A","N/A — no fix needed.","0"
