"Questionnaire","Section","Item #","Question","Plain English","Coverage","Proposed Answer","Flag Risk","Gap Description","Required Fix - File","Required Fix - Text","Required Fix - Words"
"UCSF Security Review","HR Security","29","Do you conduct background checks on all members of the workforce, and exit interviews to cover HIPAA obligations after employment?","Do you check new hires' backgrounds and remind them about confidentiality when they leave?","Partial","Background checks and exit interviews are HR-managed via Gusto. No formal Millie-side policy / HR attestation documenting that HIPAA-confidentiality reminders are part of the exit process.","Medium","HR-owned process not formally documented as a security policy.","N/A — supporting doc (HR-owned)","HR to add: background-check scope and timing, exit checklist including HIPAA confidentiality reminder, access handoff to IT. Capture as HR SOP or 1-paragraph attestation.","24"
"UCSF Security Review","Access Control","30","Is there a formal process for provisioning and removal of all user accounts, and physical access?","Is there a documented process for creating and removing user accounts and building access?","Partial","§II/§III of 03a. Technical Safeguards — Encryption, Passwords, Remote Access & Workstations (Password / Remote Access) requires deactivation of passwords and remote access on termination or role change. Supporting Sources/Millie Matrix of Platforms, Software Subscriptions, and Access (1).xlsx captures per-platform admins. A formal cross-system access provisioning/deprovisioning SOP covering all user accounts AND physical access is not yet on file.","Medium","Need formal user lifecycle / access request workflow.","N/A — supporting doc","Create Access Provisioning & Deprovisioning SOP (request, approval, role mapping, least privilege, provisioning, periodic review, termination/offboarding SLAs, physical access).","19"
"UCSF Security Review","Data Protection","31","Do you restrict the use of removable media (USB drives) and limit access to only authorized users?","Are USB sticks and external drives controlled and limited to approved people?","Full","Yes. §IV of 03a. Technical Safeguards — Encryption, Passwords, Remote Access & Workstations (Workstation Use) requires work files to be stored on the external hosting platform or app — not on C drive, CD, thumb drive, or directly on mobile devices unless authorized. §III (Remote Access) prohibits storing PHI on hard drives. 01d. Safeguards Policy requires ePHI removal from media before reuse.","Low","—","N/A","","0"
"UCSF Security Review","Data Mapping","32","Have you mapped all internal and external data flows?","Do you know exactly where patient data lives and who you share it with?","Partial","AGENTS.md describes major systems and workflows (Acuity, EMR/Elation, Zendesk, Zentake, Withings, Customer.io, Twilio/SendGrid, AWS/Aptible). The Supporting Sources/Millie Matrix of Platforms, Software Subscriptions, and Access (1).xlsx identifies systems and access. No complete internal/external sensitive-data-flow map with PHI categories, sources, destinations, vendors, and owners.","Medium","No explicit data-flow map / data inventory document.","N/A — supporting doc","Create Internal/External Data Flow Map and Data Inventory (system inventory, PHI categories, source/destination, transfers, vendors, storage locations, encryption, owner, retention, BAAs).","21"
"UCSF Security Review","Incident Response","33","Are security/privacy incidents reviewed for impact?","After a security event, do you review what happened and what damage was done?","Full","Yes. §I of 05a. Incident & Breach Response (Security Incident Management) requires prompt reporting, CSO investigation within 24 hours, response priorities, incident logs, post-incident analysis, and annual reporting. §II (Breach Notification) requires investigation, PHI compromise assessment, risk assessment, notifications, mitigation, sanctions, and accounting of disclosures.","Low","—","N/A","","0"
"UCSF Security Review","Incident Response","34","Do you have an incident management policy that defines criticality and decision response authority?","Do you have a written policy that says how serious each incident is and who decides what to do?","Full","Yes. §I of 05a. Incident & Breach Response assigns incident response authority to the Chief Security Officer, Chief Compliance Officer, Chief Privacy Officer, General Counsel/CLO, and CEO depending on incident actions. §II identifies the Chief Privacy Officer as responsible for breach investigation/notification decisions with Security Officer involvement.","Low","Severity-tier categories aren't explicit in the policy.","N/A — supporting doc (optional)","Optional: Incident Severity & Escalation Matrix referenced from the Incident & Breach Response Policy.","14"
"UCSF Security Review","Network Security","35","Is the network monitored to detect potential cybersecurity events?","Are you watching your network for hackers and unusual activity?","Partial","§III of 03a. Technical Safeguards — Encryption, Passwords, Remote Access & Workstations (Remote Access) mentions maintaining/reviewing records of inbound remote access. AWS GuardDuty and User Notifications alert on sign-in anomalies. No formal IDS/IPS / SIEM / firewall-alerting documentation outside Tenisi's NinjaOne agent.","Medium","No standalone Network Security Monitoring statement; relies on Tenisi-managed agents + per-platform alerts.","N/A — supporting doc","Create Network Security Monitoring / IDS-IPS Statement (coverage, Tenisi alerting, review cadence, escalation, sample alert evidence).","16"
"UCSF Security Review","Physical Security","36","Is the physical environment monitored to detect potential security events? (cameras, security guards, badge readers)","Do you have cameras or badge readers watching the clinic for break-ins?","Partial","01d. Safeguards Policy includes visitor controls, IDs, and secure storage. Cameras / guards / badge readers / equivalent active physical-environment monitoring per-site is not documented in policy.","Medium","Site-by-site physical monitoring details not documented.","N/A — supporting doc (per-site)","Create per-site Physical Security Monitoring Statement (locks, cameras, badge/access controls, visitor logs, restricted areas, responsible owner, exceptions).","17"
"UCSF Security Review","Incident Response","37","Do you have a security/privacy incident response policy that identifies key personnel and requires root cause analysis?","Do you have a written incident response policy that requires figuring out the root cause?","Full","Yes. §I of 05a. Incident & Breach Response identifies key personnel, reporting, investigation, response priorities, incident logs, and post-incident analysis (vulnerabilities exploited, how the incident occurred, resolution/containment, policy adequacy, unresolved vulnerabilities, needed updates). §II covers breach determination and risk assessment.","Low","—","N/A","","0"
"UCSF Security Review","Business Continuity","38","Do you test your down time procedures and your disaster recovery plans?","Do you actually practice your disaster recovery plan?","Full","Yes. 04a. Contingency Planning Policy requires the Chief Security Officer to conduct drills and exercises with personnel to test and evaluate DR plans, and submit written summaries to the CEO. The May 2026 DR review in Supporting Sources/Disaster Recovery Review - May 2026.xlsx is the latest test evidence.","Low","—","N/A","","0"
"UCSF Security Review","Business Continuity","39","Do you incorporate lessons learned into the disaster recovery planning process?","After a disaster drill, do you update your plan based on what you learned?","Full","Yes. 04a. Contingency Planning Policy states that DR plans and emergency protocols must be revised to remedy deficiencies identified during drills, or to reflect material changes in operations, systems, personnel, contractors, and business arrangements.","Low","—","N/A","","0"
